item_url,title,sku,price,category,image,description
https://www.profile-education.co.uk/milan-flower-tables,Milan Flower Tables,KB4-ML211-05,£333.33,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB4-ML211-05-milan-flower-table-red-1200mm-with-chairs.jpg,"Materials:

Manufactured from sturdy 48mm tubular metal powder coated legs. 30mm thick natural maple wood top. Meets EN1729 dimensional and safety standards.

Overall dimensions (H x D):

390/620 x 1200 mm

Age range: 2 to 8"
https://www.profile-education.co.uk/maple-reading-house,Maple Reading House,MAPREADH,£985.60,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/MAPREADH-maple-reading-house-with-child.jpg,"Materials:

Manufactured from strong 15mm MDF with rounded and profiled edges. Tested to meet relevant safety standards.

Overall dimensions (H x W x D):

1750 x 2150 x 820 mm

Desk height: 450 mm

Age range: 2+"
https://www.profile-education.co.uk/maple-mobile-fold-away-bookcase,Maple Mobile Fold Away Bookcase,MAPMFAB,£395.69,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/MAPMFAB-mobile-foldaway-bookcase-lifestyle-rosamund-2.jpg,"Materials:

Manufactured from sturdy 15mm mdf. Tested to meet relevant safety standards.

Overall dimensions (H x W x D):

1035 x 1200 x 300 (when unit open)

1035 x 600 x 600 (when unit closed)

Age range: 2+"
https://www.profile-education.co.uk/maple-browser-box,Maple Browser Box,MAPBBX,£185.74,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/MAPBBX-maple-browser-box-with-child.jpg,"Materials:

Manufactured from strong 15mm MDF with rounded and profiled edges. Tested to meet relevant safety standards.

Overall dimensions (H x W x D):

580 x 675 x 675 mm

Storage compartment: 310 x 310 x 210 mm

Age range: 2+"
https://www.profile-education.co.uk/make-your-own-easel-frames,Make Your Own Easel Frames,TME12W,£107.80,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/TME12W-myo-easel-2-sided-frame-product-1.jpg,"2 Simple Steps!

Choose your frame, then choose your easel boards!

Mix + Match any combination of boards.

Please note: Easel Boards are sold separately and can be found

here

.

Our ranges of Make Your Own indoor and outdoor easels are totally unique. They are the most versatile and flexible easel on the market and made to cater for the demands of everyday use in nurseries/schools.

Modular – Easel frames are modular so that you can easily configure 2 to 4 sided easels and a 6 sided option, as you require (for example your 4 sided easel can easily convert to two separate 2 sided easels).

One easel for all ages – Easel frames height is 1220mm – but each easel board is easily adjustable (with just one click) to suit the age and size of your children from as low as 100mm above ground (for younger children).

Choose from 2 types of 600 x 600mm easel board: Clear Perspex (indoor/outdoor) – ideal for painting and White Perspex (indoor/outdoor) – ideal for dry wipe markers as well as painting.

Paint pots not included. Suitable for paint pots 75mm.

Age

2+"
https://www.profile-education.co.uk/make-your-own-easel-boards,Make Your Own Easel Boards,TMB08,£36.06,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/TMB08-clear-acrylic-board-product-1.jpg,"Materials:

Clear Board is made from 5mm thick clear perspex. White Board is manufactured from 5mm thick white perspex. Tested to relevant safety standards.

Overall dimensions (H x W):

600 x 600 mm

Age range: 2+"
https://www.profile-education.co.uk/led-corner-cabinet,LED Corner Cabinet,KB1-EN015-A,£384.93,Early Years,https://www.profile-education.co.uk/user/products/large/KB1-EN015-A-led-corner-cabinet-lifestyle-curtain-closed-2-lr-rgb.jpg,"Materials:

Manufactured from a combination of maple plywood and maple melamine particleboard.

Overall dimensions (H x W x D):

1210 x 1100 x 790 mm

Age range: 3+"
https://www.profile-education.co.uk/just-for-toddlers-washing-machine,Just For Toddlers Washing Machine,KB1-YF005-30,£110.54,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-YF005-30-just-for-toddler-washing-machine-kitchen-set-with-child.jpg,"Materials:

Manufactured from a combination of 25mm (tops) and 16mm maple melamine board and supplied flat packed for simple self-assembly. Safety tested to relevant standards.

Overall dimensions (H x W x D):

400 x 440 x 400 mm

Age range: 1 to 3"
https://www.profile-education.co.uk/just-for-toddlers-sink-unit,Just For Toddlers Sink Unit,KB1-YF003-30,£107.58,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-YF003-30-just-for-toddler-sink-kitchen-set-with-child.jpg,"Materials:

Manufactured from a combination of 25mm (tops) and 16mm maple melamine board and supplied flat packed for simple self-assembly. Safety tested to relevant standards.

Overall dimensions (H x W x D):

400 x 440 x 400 mm

Age range: 1 to 3"
https://www.profile-education.co.uk/just-for-toddlers-oven,Just For Toddlers Oven,KB1-YF002-30,£117.53,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-YF002-30-just-for-toddler-oven-close-up.jpg,"Materials:

Manufactured from a combination of 25mm (tops) and 16mm maple melamine board and supplied flat packed for simple self-assembly. Safety tested to relevant standards.

Overall dimensions (H x W x D):

400 x 440 x 400 mm

Age range: 1 to 3"
https://www.profile-education.co.uk/literature-sorter-drawers,Literature Sorter Drawers,DRWS5MX,£15.78,Stationery & Office,https://www.profile-education.co.uk/user/products/large/DRWS5MX-literature-sorter-drawers-5-assorted-coloured-product.jpg,"Materials:

Made from tough corrugated fibreboard.

Overall dimensions (H x W x D):

60 x 275 x 320 mm"
https://www.profile-education.co.uk/literature-sorter,Literature Sorter,LITSORT,£63.17,Stationery & Office,https://www.profile-education.co.uk/user/products/large/LITSORT-literature-sorter-oyster-with-props.jpg,"Materials:

Made from tough corrugated fibreboard.

Overall dimensions (H x W x D):

385 x 585 x 330 mm"
https://www.profile-education.co.uk/lever-arch-mobile-unit,Lever Arch Mobile Unit,LAMUBH,£196.32,Stationery & Office,https://www.profile-education.co.uk/user/products/large/LAMUBH-lever-arch-mobile-unit-with-props.jpg,"Materials:

Manufactured from 15mm beech melamine faced MDF with rounded and polised edges. Filing inserts are made from tough corrugated fibreboard.

Overall dimensions (H x W x D):

840 x 650 x 365 mm"
https://www.profile-education.co.uk/lever-arch-filing-module-with-inserts,Lever Arch Filing Module with Inserts,MOD1-CFB6,£30.26,Stationery & Office,https://www.profile-education.co.uk/user/products/large/MOD1-CFB6-lever-arch-filing-module-6-assorted-filing-boxes-product.jpg,"Materials:

Manufactured from tough corrugated fibreboard.

Overall dimensions (H x W x D):

385 x 585 x 295 mm"
https://www.profile-education.co.uk/lever-arch-filing-module,Lever Arch Filing Module,MODULE-1,£79.03,Stationery & Office,https://www.profile-education.co.uk/user/products/large/MODULE-1 CLASSROOM 2 HR RGB.jpg,"Materials:

Manufactured from tough corrugated fibreboard.

Overall dimensions (H x W x D):

385 x 585 x 295 mm"
